"","ile","czestosc"
"scale_x_discrete",40,0.0008799525
"str_replace",40,0.0008799525
"textOutput",40,0.0008799525
"theme_set",40,0.0008799525
"ymd",40,0.0008799525
"geom_histogram",39,0.0008579537
"observe",39,0.0008579537
"seq_len",39,0.0008579537
"a",38,0.0008359549
"br",38,0.0008359549
"character",38,0.0008359549
"cut",38,0.0008359549
"dbGetQuery",38,0.0008359549
"h3",38,0.0008359549
"scale_color_manual",38,0.0008359549
"setNames",38,0.0008359549
"uiOutput",38,0.0008359549
"box",37,0.000813956
"coef",37,0.000813956
"annotate",36,0.0007919572
"axis",36,0.0007919572
"dbDisconnect",36,0.0007919572
"is.numeric",36,0.0007919572
"rbinom",36,0.0007919572
"rgb",36,0.0007919572
"rowMeans",36,0.0007919572
"title",36,0.0007919572
"unit",36,0.0007919572
"aggregate",35,0.0007699584
"barplot",35,0.0007699584
"element_line",35,0.0007699584
"glm",35,0.0007699584
"hr",35,0.0007699584
"p",35,0.0007699584
"Sys.Date",35,0.0007699584
"unlink",35,0.0007699584
"write_csv",35,0.0007699584
"dnorm",34,0.0007479596
"file",34,0.0007479596
"geom_density",34,0.0007479596
"geom_polygon",34,0.0007479596
"getOption",34,0.0007479596
"HTML",34,0.0007479596
"parse",34,0.0007479596
"str_replace_all",34,0.0007479596
"switch",34,0.0007479596
"ylim",34,0.0007479596
"bind_rows",33,0.0007259608
"GET",33,0.0007259608
"install_github",33,0.0007259608
"log10",33,0.0007259608
"readOGR",33,0.0007259608
"Sys.sleep",33,0.0007259608
"checkboxInput",32,0.000703962
"geom_hline",32,0.000703962
"getURL",32,0.000703962
"guides",32,0.000703962
"is.character",32,0.000703962
"numericInput",32,0.000703962
"saveRDS",32,0.000703962
"scale_colour_manual",32,0.000703962
"scale_x_date",32,0.000703962
"str_split",32,0.000703962
"textConnection",32,0.000703962
"warning",32,0.000703962
"dist",31,0.0006819632
"div",31,0.0006819632
"aes_string",30,0.0006599644
"h2",30,0.0006599644
"installed.packages",30,0.0006599644
"layout",30,0.0006599644
"on.exit",30,0.0006599644
"str_detect",30,0.0006599644
"CRS",29,0.0006379655
"dashboardBody",29,0.0006379655
"dashboardHeader",29,0.0006379655
"dashboardPage",29,0.0006379655
"dashboardSidebar",29,0.0006379655
"geom_jitter",29,0.0006379655
"h4",29,0.0006379655
"suppressWarnings",29,0.0006379655
"assign",28,0.0006159667
"data_frame",28,0.0006159667
"dimnames",28,0.0006159667
